Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,n
kxlk-vStanxn,긁었다는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
kxlk-vStvn,긁었던,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
kxlk-xlyvko,긁으려고,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
kxlk-xmyvn,긁으면,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,2
kxlk-xmyvnsv,긁으면서,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,2
kxlk-xl,긁을,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
kxlk-xn,긁은,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
malk-a,맑아,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-acike,맑아지게,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-aciko,맑아지고,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-acinxn,맑아지는,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,7
malk-acin,맑아진,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-acintako,맑아진다고,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-acyvyo,맑아져요,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-asv,맑아서,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,3
malk-ato,맑아도,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-ayo,맑아요,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-aStaka,맑았다가,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,2
malk-aStvn,맑았던,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-aSvSkvtxnyo,맑았었거든요,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
malk-aSxmyvn,맑았으면,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,2
malk-xmyvn,맑으면,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,3
malk-xmyvnsv,맑으면서,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
malk-xl,맑을,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
malk-xn,맑은,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,59
nalk-a,낡아,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
nalk-acyvSxl,낡아졌을,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
nalk-asv,낡아서,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,3
nalk-aSko,낡았고,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
nalk-xn,낡은,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,8
nvlp-idwiki,넓이뛰기,,,lp-i,lpi,0,0,NA,NA,0,lC+Vowel,1
nvlp-v,넓어,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,4
nvlp-vcikeSta,넓어지겠다,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vciki,넓어지기,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vciko,넓어지고,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,6
nvlp-vcimyvn,넓어지면,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vcimyvnsv,넓어지면서,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,2
nvlp-vcinxn,넓어지는,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,3
nvlp-vcinxnkuna,넓어지는구나,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vcil,넓어질,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,4
nvlp-vcilsulok,넓어질수록,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vcin,넓어진,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,3
nvlp-vcinta,넓어진다,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vcintako,넓어진다고,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,3
nvlp-vcintanxn,넓어진다는,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,2
nvlp-vcyvSnxnte,넓어졌는데,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vcyvSta,넓어졌다,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vcyvStako,넓어졌다고,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vcyvSvyo,넓어졌어요,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vcyvSxmyvn,넓어졌으면,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,2
nvlp-vkaciko,넓어가지고,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,9
nvlp-vsv,넓어서,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,14
nvlp-vya,넓어야,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,4
nvlp-vyaci,넓어야지,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vyo,넓어요,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vSci,넓었지,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vSko,넓었고,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,2
nvlp-vSnxnte,넓었는데,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vSv,넓었어,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,2
nvlp-vSvsv,넓었어서,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-vSxmyvn,넓었으면,,,lp-v,lpv,0,0,NA,NA,0,lC+Vowel,1
nvlp-xmyvn,넓으면,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,1
nvlp-xniga,넓으니까,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,2
nvlp-xnigan,넓으니깐,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,1
nvlp-xl,넓을,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,1
nvlp-xmi,넓음이,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,1
nvlp-xn,넓은,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,90
nvlp-xnte,넓은데,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,9
nvlp-xnteto,넓은데도,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,1
nxlk-v,늙어,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,7
nxlk-vci,늙어지,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vkacanhayo,늙어가잖아요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vkaciko,늙어가지고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vkako,늙어가고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,7
nxlk-vkamyvnsv,늙어가면서,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,6
nxlk-vkaniga,늙어가니까,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vkanxn,늙어가는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,5
nxlk-vkanxnkuna,늙어가는구나,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
nxlk-vkanxnkunalanxn,늙어가는구나라는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vkasiko,늙어가시고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
nxlk-vkata,늙어가다,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vkacko,늙어갖고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vkalgapwa,늙어갈까봐,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vkantanxn,늙어간다는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
nxlk-vpvlimyvnxn,늙어버리면은,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vsv,늙어서,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,23
nxlk-vsvgaci,늙어서까지,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
nxlk-vsvgacito,늙어서까지도,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vsvnxn,늙어서는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
nxlk-vsvto,늙어서도,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,6
nxlk-vto,늙어도,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vS,늙었,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vSciman,늙었지만,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vScyo,늙었죠,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vSkuna,늙었구나,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,3
nxlk-vSna,늙었나,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vSta,늙었다,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,2
nxlk-vStako,늙었다고,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vStalanxn,늙었다라는,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vStvlakoyo,늙었더라고요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vSvyo,늙었어요,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vSxniga,늙었으니까,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,1
nxlk-vSxl,늙었을,,,lk-v,lkv,0,0,NA,NA,0,lC+Vowel,3
nxlk-xmyvn,늙으면,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,12
nxlk-xmyvnxn,늙으면은,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,2
nxlk-xsyvSnxnte,늙으셨는데,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
nxlk-xl,늙을,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,5
nxlk-xn,늙은,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,8
nxlk-xni,늙은이,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
olk-amesinxn,옭아매시는,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
olk-ameya,옭아매야,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
olm-a,옮아,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
olm-akal,옮아갈,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
olm-awasv,옮아와서,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
olm-xl,옮을,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
palk-a,밝아,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,2
palk-aciko,밝아지고,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,3
palk-acilyvko,밝아지려고,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
palk-acimyvnsv,밝아지면서,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
palk-acinxn,밝아지는,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,4
palk-acisin,밝아지신,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,2
palk-acin,밝아진,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,3
palk-acyvSko,밝아졌고,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
palk-acyvStako,밝아졌다고,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,2
palk-acyvStatxnka,밝아졌다든가,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
palk-acyvStvla,밝아졌더라,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
palk-acyvStxnte,밝아졌든데,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
palk-akaciko,밝아가지고,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
palk-asv,밝아서,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,1
palk-ayo,밝아요,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,2
palk-aStaka,밝았다가,,,lk-a,lka,0,0,NA,NA,0,lC+Vowel,2
palk-xmyvnsv,밝으면서,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,2
palk-xniga,밝으니까,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
palk-xmi,밝음이,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,2
palk-xmilako,밝음이라고,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
palk-xmxl,밝음을,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
palk-xn,밝은,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,49
palk-xnte,밝은데,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,2
palp-a,밟아,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,4
palp-akaciko,밟아가지고,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,4
palp-akamyvnsv,밟아가면서,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
palp-anakaya,밟아나가야,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
palp-apoko,밟아보고,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
palp-asv,밟아서,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,4
palp-ato,밟아도,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
palp-aya,밟아야,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,2
palp-aSnxnte,밟았는데,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
palp-aStako,밟았다고,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
palp-aStvn,밟았던,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,2
palp-aSxl,밟았을,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,2
palp-xlyvko,밟으려고,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,2
palp-xmyvn,밟으면,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,4
palp-xmyvnsv,밟으면서,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,5
palp-xmyvnxn,밟으면은,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,1
palp-xsyvkaciko,밟으셔가지고,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,1
palp-xl,밟을,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,6
palp-xn,밟은,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,8
pulk-xn,붉은,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,13
pulk-xnsek,붉은색,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
pulk-xnsekkwa,붉은색과,,,lk-x,lkx,0,0,NA,NA,0,lC+Vowel,1
salm-a,삶아,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,5
salm-acimyvn,삶아지면,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
salm-acukvna,삶아주거나,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
salm-akaciko,삶아가지고,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,8
salm-akatxnka,삶아가든가,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
salm-akacko,삶아갖고,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,2
salm-amvkko,삶아먹고,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,2
salm-anohxn,삶아놓은,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
salm-anwaSv,삶아놨어,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
salm-asv,삶아서,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,27
salm-asvto,삶아서도,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
salm-ato,삶아도,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,2
salm-aya,삶아야,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
salm-v,삶어,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,3
salm-x,삶으,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
salm-xla,삶으라,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
salm-xlako,삶으라고,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
salm-xloSv,삶으로써,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
salm-xmyvn,삶으면,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
salm-xmyvnxn,삶으면은,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
salm-xsyvkacko,삶으셔갖고,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
salm-xsyvStamyvnxn,삶으셨다면은,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
salm-xn,삶은,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,18
talm-a,닮아,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,6
talm-acyvStanxn,닮아졌다는,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aiSko,닮아있고,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aiStako,닮아있다고,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-akaci,닮아가지,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-akaciko,닮아가지고,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,10
talm-akacimanxn,닮아가지마는,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-akakin,닮아가긴,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-akako,닮아가고,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,2
talm-akalyvko,닮아가려고,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-akanxn,닮아가는,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,2
talm-akasv,닮아가서,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-akatvlakoyo,닮아가더라고요,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-akal,닮아갈,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-akan,닮아간,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-akantako,닮아간다고,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-akantalanxn,닮아간다라는,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-akantanxn,닮아간다는,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,2
talm-asv,닮아서,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,29
talm-aS,닮았,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,2
talm-aScimanxn,닮았지마는,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aSkeScyo,닮았겠죠,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aSko,닮았고,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,11
talm-aSkuna,닮았구나,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aSkvtxnyo,닮았거든요,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,4
talm-aSna,닮았나,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aSnayo,닮았나요,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aSne,닮았네,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,4
talm-aSnelan,닮았네란,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aSnxnci,닮았는지,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,3
talm-aSnxncinxn,닮았는지는,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aSnxnte,닮았는데,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,3
talm-aSnxnteyo,닮았는데요,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aSnya,닮았냐,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,2
talm-aSsxpniga,닮았습니까,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aSsxpnita,닮았습니다,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,2
talm-aSta,닮았다,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,5
talm-aStaka,닮았다가,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aStako,닮았다고,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,15
talm-aStakoto,닮았다고도,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aStalako,닮았다라고,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aStalanxn,닮았다라는,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,2
talm-aStanxn,닮았다는,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,10
talm-aStan,닮았단,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aSteyo,닮았대요,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,3
talm-aStvla,닮았더라,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aSv,닮았어,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,4
talm-aSvyo,닮았어요,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,9
talm-aSxmyvn,닮았으면,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,6
talm-aSxniga,닮았으니까,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aSxlga,닮았을까,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-aSxm,닮았음,,,lm-a,lma,0,0,NA,NA,0,lC+Vowel,1
talm-v,닮어,,,lm-v,lmv,0,0,NA,NA,0,lC+Vowel,1
talm-xkin,닮으긴,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
talm-xla,닮으라,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
talm-xlyvko,닮으려고,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,2
talm-xniga,닮으니까,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
talm-xsin,닮으신,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,2
talm-xsyvsv,닮으셔서,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
talm-xsyvSnayo,닮으셨나요,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,2
talm-xsyvSta,닮으셨다,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
talm-xsyvSvyo,닮으셨어요,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,2
talm-xlga,닮을까,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
talm-xm,닮음,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,1
talm-xn,닮은,,,lm-x,lmx,0,0,NA,NA,0,lC+Vowel,70
txnvlp-xn,드넓은,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,4
xlP-vnohko,읊어놓고,,,lP-v,lPv,0,0,NA,NA,0,lC+Vowel,1
xlP-vpolako,읊어보라고,,,lP-v,lPv,0,0,NA,NA,0,lC+Vowel,1
xlP-xmyvnsv,읊으면서,,,lP-x,lPx,0,0,NA,NA,0,lC+Vowel,1
yalp-a,얇아,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,2
yalp-aciciman,얇아지지만,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
yalp-acinigan,얇아지니깐,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
yalp-asv,얇아서,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,2
yalp-ayo,얇아요,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
yalp-aSko,얇았고,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
yalp-xn,얇은,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,31
yalp-xnka,얇은가,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,1
