Trial_Nr,Trial_Id,Exp_Subject_Id,OptionChosen,TargetWord,knowledge,StemType,Frequency,Stem_romanization,Affix_romanization,Word_romanization,Tensification,Nasalization,L_deletion,C_deletion,Lateralization,AffixInitialSegment,UR,JunctureType,Production_R
121,115,606771,option_3,갉나,5,LC,low,kalk,na,kalkna,NA,0,1,0,0,NA,NA,NA,NA
5,146,606771,option_1,갉아,5,LC,low,kalk,a,kalka,0,NA,0,0,NA,NA,NA,NA,NA
59,93,606771,option_4,갉다,5,LC,low,kalk,ta,kalkta,1,NA,1,0,NA,NA,NA,NA,NA
135,1,606771,option_1,겊어,1,C,nonce,kvP,v,kvPv,0,NA,NA,NA,NA,Vowel,P-v,C+Vowel,kvPv
148,124,606771,option_1,겊나,1,C,nonce,kvP,na,kvPna,NA,1,NA,NA,NA,Sonorant,P-n,C+Sonorant,kvmna
44,167,606771,option_2,겊다,1,C,nonce,kvP,ta,kvPta,1,NA,NA,NA,NA,Obstruent,P-t,C+Obstruent,kvpda
77,37,606771,option_4,겳다,1,LC,nonce,kjvlp,ta,kjvlpta,1,NA,1,0,NA,NA,NA,NA,NA
42,59,606771,option_1,겳어,1,LC,nonce,kjvlp,v,kjvlpv,0,NA,0,0,NA,NA,NA,NA,NA
76,163,606771,option_1,겳나,1,LC,nonce,kjvlp,na,kjvlpna,NA,1,1,0,0,NA,NA,NA,NA
1,108,606771,option_2,굵다,5,LC,high,kulk,ta,kulkta,1,NA,0,0,NA,NA,NA,NA,NA
70,104,606771,option_1,굵어,5,LC,high,kulk,v,kulkv,0,NA,0,0,NA,NA,NA,NA,NA
111,27,606771,option_1,굵나,5,LC,high,kulk,na,kulkna,NA,1,1,0,0,NA,NA,NA,NA
142,154,606771,option_1,긁어,5,LC,low,kxlk,v,kxlkv,0,NA,0,0,NA,NA,NA,NA,NA
143,130,606771,option_4,긁다,5,LC,low,kxlk,ta,kxlkta,1,NA,1,0,NA,NA,NA,NA,NA
117,70,606771,option_1,긁나,5,LC,low,kxlk,na,kxlkna,NA,1,1,0,0,NA,NA,NA,NA
129,132,606771,option_4,긆다,1,LC,nonce,kxlP,ta,kxlPta,1,NA,1,0,NA,NA,NA,NA,NA
178,110,606771,option_3,긆나,1,LC,nonce,kxlP,na,kxlPna,NA,0,1,0,0,NA,NA,NA,NA
7,39,606771,option_1,긆어,1,LC,nonce,kxlP,v,kxlPv,0,NA,0,0,NA,NA,NA,NA,NA
6,30,606771,option_3,낡나,5,LC,high,nalk,na,nalkna,NA,0,1,0,0,NA,NA,NA,NA
141,52,606771,option_1,낡아,5,LC,high,nalk,a,nalka,0,NA,0,0,NA,NA,NA,NA,NA
172,15,606771,option_4,낡다,5,LC,high,nalk,ta,nalkta,1,NA,1,0,NA,NA,NA,NA,NA
131,169,606771,option_1,낣아,1,LC,nonce,nalp,a,nalpa,0,NA,0,0,NA,NA,NA,NA,NA
106,160,606771,option_3,낣나,1,LC,nonce,nalp,na,nalpna,NA,0,1,0,0,NA,NA,NA,NA
75,32,606771,option_2,낣다,1,LC,nonce,nalp,ta,nalpta,1,NA,0,0,NA,NA,NA,NA,NA
134,68,606771,option_1,냍어,1,C,nonce,neT,v,neTv,0,NA,NA,NA,NA,Vowel,T-v,C+Vowel,neTv
160,19,606771,option_2,냍다,1,C,nonce,neT,ta,neTta,1,NA,NA,NA,NA,Obstruent,T-t,C+Obstruent,netda
8,40,606771,option_1,냍나,1,C,nonce,neT,na,neTna,NA,1,NA,NA,NA,Sonorant,T-n,C+Sonorant,nenna
103,135,606771,option_1,넓나,5,LC,high,nvlp,na,nvlpna,NA,1,1,0,0,NA,NA,NA,NA
130,48,606771,option_1,넓어,5,LC,high,nvlp,v,nvlpv,0,NA,0,0,NA,NA,NA,NA,NA
79,105,606771,option_3,넓다,5,LC,high,nvlp,ta,nvlpta,1,NA,0,1,NA,NA,NA,NA,NA
25,101,606771,option_2,눅나,1,C,nonce,nuk,na,nukna,NA,0,NA,NA,NA,Sonorant,k-n,C+Sonorant,nukna
66,61,606771,option_2,눅다,1,C,nonce,nuk,ta,nukta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,nukda
86,69,606771,option_1,눅어,1,C,nonce,nuk,v,nukv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,nukv
153,87,606771,option_1,늙어,5,LC,high,nxlk,v,nxlkv,0,NA,0,0,NA,NA,NA,NA,NA
45,20,606771,option_3,늙나,5,LC,high,nxlk,na,nxlkna,NA,0,1,0,0,NA,NA,NA,NA
9,96,606771,option_4,늙다,5,LC,high,nxlk,ta,nxlkta,1,NA,1,0,NA,NA,NA,NA,NA
97,28,606771,option_1,덟나,3,LC,nonce,tvlp,na,tvlpna,NA,1,1,0,0,NA,NA,NA,NA
39,123,606771,option_2,덟다,3,LC,nonce,tvlp,ta,tvlpta,1,NA,0,0,NA,NA,NA,NA,NA
30,17,606771,option_1,덟어,3,LC,nonce,tvlp,v,tvlpv,0,NA,0,0,NA,NA,NA,NA,NA
26,134,606771,option_1,독아,2,C,nonce,tok,a,toka,0,NA,NA,NA,NA,Vowel,k-a,C+Vowel,toka
17,144,606771,option_2,독다,2,C,nonce,tok,ta,tokta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,tokda
116,4,606771,option_1,독나,2,C,nonce,tok,na,tokna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,toNna
133,119,606771,option_2,둡나,2,C,nonce,tup,na,tupna,NA,0,NA,NA,NA,Sonorant,p-n,C+Sonorant,tupna
132,145,606771,option_2,둡다,2,C,nonce,tup,ta,tupta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,tupda
34,71,606771,option_1,둡어,2,C,nonce,tup,v,tupv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,tupv
89,80,606771,option_1,듥나,1,LC,nonce,txlk,na,txlkna,NA,1,1,0,0,NA,NA,NA,NA
169,122,606771,option_4,듥다,1,LC,nonce,txlk,ta,txlkta,1,NA,1,0,NA,NA,NA,NA,NA
179,94,606771,option_1,듥어,1,LC,nonce,txlk,v,txlkv,0,NA,0,0,NA,NA,NA,NA,NA
128,109,606771,option_6,떫다,5,LC,low,dvlp,ta,dvlpta,0,NA,1,0,NA,NA,NA,NA,NA
147,125,606771,option_3,떫나,5,LC,low,dvlp,na,dvlpna,NA,0,1,0,0,NA,NA,NA,NA
51,66,606771,option_1,떫어,5,LC,low,dvlp,v,dvlpv,0,NA,0,0,NA,NA,NA,NA,NA
49,73,606771,option_1,막나,5,C,high,mak,na,makna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,maNna
157,158,606771,option_1,막아,5,C,high,mak,a,maka,0,NA,NA,NA,NA,Vowel,k-a,C+Vowel,maka
127,156,606771,option_2,막다,5,C,high,mak,ta,makta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,makda
58,83,606771,option_1,맑아,5,LC,high,malk,a,malka,0,NA,0,0,NA,NA,NA,NA,NA
115,177,606771,option_1,맑나,5,LC,high,malk,na,malkna,NA,1,1,0,0,NA,NA,NA,NA
99,159,606771,option_4,맑다,5,LC,high,malk,ta,malkta,1,NA,1,0,NA,NA,NA,NA,NA
20,47,606771,option_2,멁다,1,LC,nonce,mvlk,ta,mvlkta,1,NA,0,0,NA,NA,NA,NA,NA
158,85,606771,option_1,멁어,1,LC,nonce,mvlk,v,mvlkv,0,NA,0,0,NA,NA,NA,NA,NA
171,82,606771,option_1,멁나,1,LC,nonce,mvlk,na,mvlkna,NA,1,1,0,0,NA,NA,NA,NA
31,153,606771,option_1,묵어,5,C,low,muk,v,mukv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,mukv
136,103,606771,option_1,묵나,5,C,low,muk,na,mukna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,muNna
164,100,606771,option_2,묵다,5,C,low,muk,ta,mukta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,mukda
102,53,606771,option_4,묽다,5,LC,low,mulk,ta,mulkta,1,NA,1,0,NA,NA,NA,NA,NA
60,51,606771,option_1,묽어,5,LC,low,mulk,v,mulkv,0,NA,0,0,NA,NA,NA,NA,NA
29,64,606771,option_1,묽나,5,LC,low,mulk,na,mulkna,NA,1,1,0,0,NA,NA,NA,NA
126,180,606771,option_1,박나,5,C,high,pak,na,pakna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,paNna
83,139,606771,option_1,박아,5,C,high,pak,a,paka,0,NA,NA,NA,NA,Vowel,k-a,C+Vowel,paka
4,84,606771,option_2,박다,5,C,high,pak,ta,pakta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,pakda
175,13,606771,option_1,밝아,5,LC,high,palk,a,palka,0,NA,0,0,NA,NA,NA,NA,NA
78,22,606771,option_4,밝다,5,LC,high,palk,ta,palkta,1,NA,1,0,NA,NA,NA,NA,NA
22,78,606771,option_3,밝나,5,LC,high,palk,na,palkna,NA,0,1,0,0,NA,NA,NA,NA
15,92,606771,option_1,밟아,5,LC,high,palp,a,palpa,0,NA,0,0,NA,NA,NA,NA,NA
53,97,606771,option_1,밟나,5,LC,high,palp,na,palpna,NA,1,1,0,0,NA,NA,NA,NA
88,16,606771,option_4,밟다,5,LC,high,palp,ta,palpta,1,NA,1,0,NA,NA,NA,NA,NA
41,31,606771,option_1,뱉나,5,C,low,peT,na,peTna,NA,1,NA,NA,NA,Sonorant,T-n,C+Sonorant,penna
138,26,606771,option_2,뱉다,5,C,low,peT,ta,peTta,1,NA,NA,NA,NA,Obstruent,T-t,C+Obstruent,petda
32,54,606771,option_1,뱉어,5,C,low,peT,v,peTv,0,NA,NA,NA,NA,Vowel,T-v,C+Vowel,peTv
159,170,606771,option_2,법다,1,C,nonce,kvp,ta,kvpta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,pvpda
139,24,606771,option_1,법어,1,C,nonce,kvp,v,kvpv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,pvpv
176,111,606771,option_1,법나,1,C,nonce,kvp,na,kvpna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,pvmna
94,121,606771,option_1,붉어,5,LC,high,pulk,v,pulkv,0,NA,0,0,NA,NA,NA,NA,NA
61,43,606771,option_3,붉나,5,LC,high,pulk,na,pulkna,NA,0,1,0,0,NA,NA,NA,NA
167,117,606771,option_4,붉다,5,LC,high,pulk,ta,pulkta,1,NA,1,0,NA,NA,NA,NA,NA
10,86,606771,option_1,붍어,1,LC,nonce,pulT,v,pulTv,0,NA,0,0,NA,NA,NA,NA,NA
166,38,606771,option_1,붍나,1,LC,nonce,pulT,na,pulTna,NA,1,1,0,0,NA,NA,NA,NA
98,102,606771,option_8,붍다,1,LC,nonce,pulT,ta,pulTta,1,NA,1,1,NA,NA,NA,NA,NA
2,57,606771,option_2,뽑다,5,C,high,p*op,ta,p*opta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,bopda
114,162,606771,option_1,뽑아,5,C,high,p*op,a,p*opa,0,NA,NA,NA,NA,Vowel,p-a,C+Vowel,bopa
155,14,606771,option_1,뽑나,5,C,high,p*op,na,p*opna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,bomna
14,172,606771,option_1,속아,5,C,low,sok,a,soka,0,NA,NA,NA,NA,Vowel,k-a,C+Vowel,soka
84,25,606771,option_2,속다,5,C,low,sok,ta,sokta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,sokda
177,89,606771,option_1,속나,5,C,low,sok,na,sokna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,soNna
144,67,606771,option_1,숡나,1,LC,nonce,sulk,na,sulkna,NA,1,1,0,0,NA,NA,NA,NA
11,112,606771,option_1,숡어,1,LC,nonce,sulk,v,sulkv,0,NA,0,0,NA,NA,NA,NA,NA
118,11,606771,option_4,숡다,1,LC,nonce,sulk,ta,sulkta,1,NA,1,0,NA,NA,NA,NA,NA
18,75,606771,option_1,식나,5,C,low,sik,na,sikna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,siNna
154,36,606771,option_1,식어,5,C,low,sik,v,sikv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,sikv
123,164,606771,option_2,식다,5,C,low,sik,ta,sikta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,sikda
109,88,606771,option_1,썩나,5,C,high,s*vk,na,s*vkna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,SvNna
82,165,606771,option_2,썩다,5,C,high,s*vk,ta,s*vkta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,Svkda
27,161,606771,option_1,썩어,5,C,high,s*vk,v,s*vkv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,Svkv
125,95,606771,option_1,씹나,5,C,high,s*ip,na,s*ipna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,Simna
57,137,606771,option_1,씹어,5,C,high,s*ip,v,s*ipv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,Sipv
35,6,606771,option_2,씹다,5,C,high,s*ip,ta,s*ipta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,Sipda
36,141,606771,option_1,앍나,1,LC,nonce,alk,na,alkna,NA,1,1,0,0,NA,NA,NA,NA
52,18,606771,option_4,앍다,1,LC,nonce,alk,ta,alkta,1,NA,1,0,NA,NA,NA,NA,NA
48,90,606771,option_1,앍아,1,LC,nonce,alk,a,alka,0,NA,0,0,NA,NA,NA,NA,NA
50,128,606771,option_3,얇다,5,LC,low,yalp,ta,yalpta,1,NA,0,1,NA,NA,NA,NA,NA
104,62,606771,option_1,얇나,5,LC,low,yalp,na,yalpna,NA,1,1,0,0,NA,NA,NA,NA
107,107,606771,option_1,얇아,5,LC,low,yalp,a,yalpa,0,NA,0,0,NA,NA,NA,NA,NA
28,49,606771,option_1,얕나,5,C,low,yaT,na,yaTna,NA,1,NA,NA,NA,Sonorant,T-n,C+Sonorant,yanna
24,10,606771,option_2,얕다,5,C,low,yaT,ta,yaTta,1,NA,NA,NA,NA,Obstruent,T-t,C+Obstruent,yatda
63,166,606771,option_1,얕아,5,C,low,yaT,a,yaTa,0,NA,NA,NA,NA,Vowel,T-a,C+Vowel,yaTa
165,9,606771,option_1,얽나,5,LC,low,vlk,na,vlkna,NA,1,1,0,0,NA,NA,NA,NA
37,74,606771,option_4,얽다,5,LC,low,vlk,ta,vlkta,1,NA,1,0,NA,NA,NA,NA,NA
163,178,606771,option_1,얽어,5,LC,low,vlk,v,vlkv,0,NA,0,0,NA,NA,NA,NA,NA
149,142,606771,option_2,업다,5,C,low,vp,ta,vpta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,vpda
40,148,606771,option_1,업어,5,C,low,vp,v,vpv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,vpv
140,98,606771,option_1,업나,5,C,low,vp,na,vpna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,vmna
96,106,606771,option_1,엎어,5,C,low,vP,v,vPv,0,NA,NA,NA,NA,Vowel,P-v,C+Vowel,vPv
150,157,606771,option_2,엎다,5,C,low,vP,ta,vPta,1,NA,NA,NA,NA,Obstruent,P-t,C+Obstruent,vpda
85,131,606771,option_1,엎나,5,C,low,vP,na,vPna,NA,1,NA,NA,NA,Sonorant,P-n,C+Sonorant,vmna
180,23,606771,option_3,엷나,5,LC,low,yvlp,na,yvlpna,NA,0,1,0,0,NA,NA,NA,NA
81,41,606771,option_3,엷다,5,LC,low,yvlp,ta,yvlpta,1,NA,0,1,NA,NA,NA,NA,NA
151,77,606771,option_1,엷어,5,LC,low,yvlp,v,yvlpv,0,NA,0,0,NA,NA,NA,NA,NA
92,35,606771,option_1,옅어,5,C,low,yvT,v,yvTv,0,NA,NA,NA,NA,Vowel,T-v,C+Vowel,jvTv
38,46,606771,option_2,옅다,5,C,low,yvT,ta,yvTta,1,NA,NA,NA,NA,Obstruent,T-t,C+Obstruent,jvtda
145,79,606771,option_1,옅나,5,C,low,yvT,na,yvTna,NA,1,NA,NA,NA,Sonorant,T-n,C+Sonorant,jvnna
69,176,606771,option_2,웁다,1,C,nonce,up,ta,upta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,upda
90,150,606771,option_1,웁어,1,C,nonce,up,v,upv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,upv
137,114,606771,option_1,웁나,1,C,nonce,up,na,upna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,umna
62,140,606771,option_1,읊나,5,LC,low,xlP,na,xlPna,NA,1,1,0,0,NA,NA,NA,NA
170,129,606771,option_1,읊어,5,LC,low,xlP,v,xlPv,0,NA,0,0,NA,NA,NA,NA,NA
56,127,606771,option_4,읊다,5,LC,low,xlP,ta,xlPta,1,NA,1,0,NA,NA,NA,NA,NA
105,171,606771,option_1,익나,5,C,low,ik,na,ikna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,iNna
101,60,606771,option_2,익다,5,C,low,ik,ta,ikta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,ikda
13,29,606771,option_1,익어,5,C,low,ik,v,ikv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,ikv
168,81,606771,option_4,읽다,5,LC,high,ilk,ta,ilkta,1,NA,1,0,NA,NA,NA,NA,NA
110,174,606771,option_1,읽어,5,LC,high,ilk,v,ilkv,0,NA,0,0,NA,NA,NA,NA,NA
95,56,606771,option_1,읽나,5,LC,high,ilk,na,ilkna,NA,1,1,0,0,NA,NA,NA,NA
162,116,606771,option_2,입다,5,C,high,ip,ta,ipta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,ipda
33,72,606771,option_1,입나,5,C,high,ip,na,ipna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,imna
73,42,606771,option_1,입어,5,C,high,ip,v,ipv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,ipv
91,126,606771,option_2,작다,5,C,high,cak,ta,cakta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,cakda
71,76,606771,option_1,작아,5,C,high,cak,a,caka,0,NA,NA,NA,NA,Vowel,k-a,C+Vowel,caka
54,5,606771,option_1,작나,5,C,high,cak,na,cakna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,caNna
3,113,606771,option_1,적나,5,C,high,cvk,na,cvkna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,cvNna
152,12,606771,option_1,적어,5,C,high,cvk,v,cvkv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,cvkv
65,8,606771,option_2,적다,5,C,high,cvk,ta,cvkta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,cvkda
119,151,606771,option_1,접나,5,C,high,cvp,na,cvpna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,cvmna
12,65,606771,option_2,접다,5,C,high,cvp,ta,cvpta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,cvpda
72,55,606771,option_1,접어,5,C,high,cvp,v,cvpv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,cvpv
146,149,606771,option_1,직나,2,C,nonce,cik,na,cikna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,ciNna
16,58,606771,option_1,직어,2,C,nonce,cik,v,cikv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,cikv
68,50,606771,option_2,직다,2,C,nonce,cik,ta,cikta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,cikda
161,45,606771,option_4,짉다,1,LC,nonce,cilk,ta,cilkta,1,NA,1,0,NA,NA,NA,NA,NA
21,175,606771,option_1,짉어,1,LC,nonce,cilk,v,cilkv,0,NA,0,0,NA,NA,NA,NA,NA
23,21,606771,option_3,짉나,1,LC,nonce,cilk,na,cilkna,NA,0,1,0,0,NA,NA,NA,NA
64,147,606771,option_2,집다,5,C,high,cip,ta,cipta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,cipda
174,118,606771,option_1,집나,5,C,high,cip,na,cipna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,cimna
80,3,606771,option_1,집어,5,C,high,cip,v,cipv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,cipv
173,143,606771,option_3,짧다,5,LC,high,Jalp,ta,Jalpta,1,NA,0,1,NA,NA,NA,NA,NA
120,44,606771,option_3,짧나,5,LC,high,Jalp,na,Jalpna,NA,0,1,0,0,NA,NA,NA,NA
67,168,606771,option_1,짧아,5,LC,high,Jalp,a,Jalpa,0,NA,0,0,NA,NA,NA,NA,NA
156,120,606771,option_1,찍어,5,C,low,Jik,v,Jikv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,Jikv
47,63,606771,option_2,찍다,5,C,low,Jik,ta,Jikta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,Jikda
124,133,606771,option_1,찍나,5,C,low,Jik,na,Jikna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,JiNna
93,155,606771,option_2,착다,2,C,nonce,Cak,ta,Cakta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,Cakda
112,2,606771,option_1,착아,2,C,nonce,Cak,a,Caka,0,NA,NA,NA,NA,Vowel,k-a,C+Vowel,Caka
19,33,606771,option_2,착나,2,C,nonce,Cak,na,Cakna,NA,0,NA,NA,NA,Sonorant,k-n,C+Sonorant,Cakna
43,91,606771,option_1,톱나,1,C,nonce,Top,na,Topna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,Tomna
46,179,606771,option_2,톱다,1,C,nonce,Top,ta,Topta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,Topda
87,173,606771,option_1,톱아,1,C,nonce,Top,a,Topa,0,NA,NA,NA,NA,Vowel,p-a,C+Vowel,Topa
74,99,606771,option_1,핥나,5,LC,low,halT,na,halTna,NA,1,1,0,0,NA,NA,NA,NA
122,34,606771,option_3,핥다,5,LC,low,halT,ta,halTta,1,NA,0,1,NA,NA,NA,NA,NA
55,7,606771,option_1,핥아,5,LC,low,halT,a,halTa,0,NA,0,0,NA,NA,NA,NA,NA
